iter	Passed	Remaining
403	10247	40483
404	10270	40447
405	10292	40409
406	10321	40399
407	10342	40357
408	10362	40311
409	10385	40277
410	10408	40240
411	10429	40199
412	10453	40166
413	10480	40150
414	10511	40146
415	10532	40104
416	10562	40096
417	10588	40074
418	10618	40066
419	10642	40034
420	10652	39953
421	10668	39892
422	10692	39862
423	10718	39839
424	10756	39862
425	10788	39860
426	10811	39827
427	10840	39815
428	10871	39810
429	10896	39786
430	10921	39759
431	10941	39713
432	10971	39706
433	11002	39700
434	11027	39673
435	11055	39657
436	11082	39637
437	11111	39626
438	11142	39619
439	11171	39607
440	11190	39560
441	11217	39542
442	11241	39508
443	11254	39440
444	11285	39436
445	11307	39397
446	11334	39379
447	11358	39349
448	11379	39308
449	11402	39276
450	11431	39261
451	11452	39223
452	11481	39208
453	11527	39255
454	11556	39239
455	11582	39217
456	11612	39208
457	11634	39170
458	11664	39161
459	11684	39118
460	11711	39097
461	11742	39090
462	11773	39082
463	11794	39044
464	11816	39007
465	11839	38973
466	11876	38984
467	11913	38999
468	11947	39002
469	11977	38991
470	12004	38969
471	12028	38938
472	12055	38918
473	12077	38881
474	12113	38890
475	12149	38898
476	12182	38897
477	12219	38907
478	12245	38885
479	12272	38863
480	12314	38888
481	12358	38920
482	12376	38871
483	12393	38820
484	12412	38772
485	12431	38727
486	12453	38689
487	12473	38648
488	12495	38609
489	12527	38606
490	12556	38591
491	12575	38544
492	12601	38519
493	12627	38497
494	12651	38464
495	12688	38473
496	12719	38466
497	12749	38452
498	12786	38460
499	12818	38456
500	12835	38404
501	12869	38403
502	12903	38402
503	12937	38400
504	12963	38378
505	12981	38329
506	13019	38338
507	13049	38325
508	13075	38302
509	13104	38286
510	13131	38264
511	13159	38245
512	13185	38221
513	13213	38200
514	13242	38184
515	13261	38138
516	13282	38099
517	13316	38097
518	13358	38118
519	13393	38121
520	13431	38129
521	13467	38131
522	13504	38137
523	13528	38105
524	13551	38073
525	13576	38045
526	13608	38036
527	13642	38032
528	13673	38021
529	13703	38009
530	13743	38020
531	13783	38034
532	13818	38033
533	13842	38001
534	13880	38007
535	13912	38000
536	13944	37990
537	13976	37980
538	14023	38012
539	14060	38014
540	14091	38003
541	14135	38025
542	14171	38026
543	14201	38009
544	14227	37984
545	14272	38007
546	14305	38000
547	14329	37967
548	14362	37959
549	14388	37933
550	14416	37912
551	14448	37900
552	14471	37866
553	14498	37842
554	14525	37817
555	14560	37815
556	14595	37811
557	14626	37797
558	14666	37806
559	14692	37781
560	14723	37767
561	14764	37777
562	14783	37733
563	14798	37679
564	14834	37678
565	14853	37633
566	14889	37629
567	14930	37640
568	14959	37622
569	14982	37588
570	15007	37558
571	15036	37539
572	15060	37505
573	15078	37460
574	15110	37448
575	15143	37438
576	15167	37406
577	15199	37393
578	15231	37381
579	15261	37363
580	15289	37342
581	15322	37332
582	15346	37300
583	15374	37278
584	15399	37247
585	15422	37214
586	15443	37173
587	15465	37137
588	15499	37130
589	15523	37097
590	15551	37075
591	15583	37062
592	15603	37022
593	15630	36998
594	15656	36969
595	15700	36985
596	15728	36962
597	15767	36965
598	15804	36965
599	15832	36942
600	15863	36926
601	15885	36891
602	15910	36861
603	15937	36836
604	15962	36806
605	16003	36813
606	16032	36793
607	16065	36781
608	16092	36755
609	16120	36733
610	16145	36703
611	16181	36700
612	16214	36687
613	16247	36676
614	16276	36654
615	16302	36628
616	16339	36624
617	16371	36609
618	16392	36571
619	16415	36537
620	16435	36495
621	16463	36473
622	16497	36463
623	16525	36440
624	16552	36415
625	16580	36392
626	16629	36414
627	16652	36380
628	16665	36326
629	16691	36296
630	16719	36274
631	16750	36257
632	16785	36249
633	16822	36245
634	16852	36226
635	16892	36228
636	16917	36198
637	16938	36160
638	16978	36163
639	17004	36133
640	17021	36087
641	17048	36062
642	17072	36030
643	17098	36003
644	17127	35981
645	17157	35962
646	17190	35948
647	17225	35939
648	17252	35913
649	17277	35884
650	17301	35851
651	17319	35808
652	17362	35814
653	17398	35808
654	17434	35800
655	17458	35767
656	17481	35733
657	17508	35707
658	17536	35684
659	17561	35654
660	17588	35630
661	17616	35606
662	17644	35582
663	17672	35557
664	17689	35512
665	17724	35502
666	17758	35491
667	17803	35501
668	17830	35474
669	17849	35432
670	17871	35396
671	17898	35371
672	17920	35334
673	17951	35316
674	17975	35284
675	17993	35241
676	18022	35220
677	18040	35177
678	18070	35155
679	18089	35114
680	18117	35091
681	18143	35063
682	18162	35021
683	18175	34969
684	18215	34967
685	18248	34953
686	18281	34940
687	18308	34914
688	18339	34895
689	18364	34865
690	18390	34838
691	18420	34818
692	18437	34773
693	18460	34739
694	18483	34705
695	18499	34660
696	18514	34611
697	18536	34576
