iter	RMSE
0	0.1514737836
1	0.1481773886
2	0.1449966082
3	0.1419447967
4	0.1390219975
5	0.1358361538
6	0.132713048
7	0.1296843348
8	0.1267700344
9	0.1239995131
10	0.1213031678
11	0.1187875019
12	0.1163285345
13	0.1139700333
14	0.1116560593
15	0.1094515789
16	0.1073149893
17	0.1052830821
18	0.1032928319
19	0.1013929516
20	0.09962280345
21	0.09789099679
22	0.09622218754
23	0.09461326644
24	0.09307205868
25	0.09161390235
26	0.09020096497
27	0.08884862859
28	0.08754654173
29	0.0862935111
30	0.08511441257
31	0.08369083677
32	0.08224806802
33	0.08084094832
34	0.0794964671
35	0.07822053409
36	0.07701819186
37	0.07587534848
38	0.07475636222
39	0.0736783084
40	0.07261849056
41	0.07163247073
42	0.07067659472
43	0.06979011754
44	0.06891967053
45	0.0681068766
46	0.0673395307
47	0.0665664868
48	0.0658523687
49	0.06516976363
50	0.06449265052
51	0.06384006868
52	0.06322110077
53	0.06262676926
54	0.06207895813
55	0.06154097194
56	0.06103237863
57	0.06052968585
58	0.06003391239
59	0.05957762827
60	0.05914987089
61	0.05873756208
62	0.05833752556
63	0.05795159252
64	0.05759572286
65	0.0572507995
66	0.05692404879
67	0.05659653841
68	0.05629354288
69	0.05599179496
70	0.05572212868
71	0.05545785547
72	0.05520124391
73	0.05495375839
74	0.0547090433
75	0.05448273915
76	0.05427111195
77	0.0540017557
78	0.05373428562
79	0.05351812588
80	0.05327291005
81	0.0530695398
82	0.05287298428
83	0.05265326335
84	0.05245379685
85	0.052244972
86	0.05206798898
87	0.05189405625
88	0.05171934555
89	0.0515545796
90	0.0513946904
91	0.05125776963
92	0.05109558009
93	0.05094503325
94	0.05079798684
95	0.05068790059
96	0.05055111451
97	0.05043741183
98	0.05032459335
99	0.05021004427
100	0.05010255323
101	0.04997696785
102	0.04988211514
103	0.04978479767
104	0.0497007925
105	0.04959760995
106	0.04948763091
107	0.04939746406
108	0.04932403605
109	0.04917617779
110	0.04909694316
111	0.04902611532
112	0.04895110042
113	0.04887961366
114	0.048808035
115	0.04874647064
116	0.04867688505
117	0.04859510158
118	0.04852943286
119	0.04846337204
120	0.0484005856
121	0.04834672119
122	0.04829135502
123	0.04823492294
124	0.04816343233
125	0.04806868008
126	0.04801525143
127	0.04794575715
128	0.04789541135
129	0.04785342537
130	0.04781330778
131	0.047722757
132	0.04768441549
133	0.04765112032
134	0.04761521689
135	0.04757867654
136	0.04754354172
137	0.04751048954
138	0.04747223612
139	0.0474402083
140	0.04740523704
141	0.04738114218
142	0.04733820042
143	0.04731261717
144	0.04726243303
145	0.04721427735
146	0.04718841617
147	0.04715406581
148	0.04713381416
149	0.04705947101
150	0.04703885984
151	0.04700199121
152	0.04697140226
153	0.04693711515
154	0.0469105211
155	0.04683668746
156	0.046793796
157	0.04676256899
158	0.04670279047
159	0.04668169386
160	0.04665616678
161	0.04661274955
162	0.04659866498
163	0.04656329891
164	0.04653315659
165	0.0465194533
166	0.04647629112
167	0.04644853175
168	0.04642851981
169	0.04639721488
170	0.04634849799
171	0.04632490474
172	0.04629679777
173	0.04627461923
174	0.04624582828
175	0.04622312956
176	0.04617886834
177	0.04613806813
178	0.04610172957
179	0.04605838384
180	0.04604100884
181	0.04601946642
182	0.04598686813
183	0.04596331207
184	0.0459458884
185	0.04591282749
186	0.04588779862
187	0.04586398224
188	0.04581806894
189	0.04576926899
190	0.0457380229
191	0.04572775552
192	0.04571748489
193	0.04566687618
194	0.04565378004
195	0.04561832178
196	0.04559195612
197	0.04556855207
198	0.04553199758
199	0.04551508834
200	0.04549716657
201	0.04548198342
202	0.04546832167
203	0.04540429874
204	0.04538062903
205	0.045364422
206	0.04535220824
207	0.04532493617
208	0.04530809771
209	0.04527129257
210	0.04524963423
211	0.04518611246
212	0.04515685642
213	0.04514140822
214	0.04511247795
215	0.04508322555
216	0.04504953809
217	0.0450355543
218	0.04498074043
219	0.04495507269
220	0.04493145636
221	0.04491428973
222	0.04490194774
223	0.04487620674
224	0.04485859913
225	0.0448493625
226	0.04483283641
227	0.04481929965
228	0.04481139439
229	0.04479553186
230	0.0447797464
231	0.04475364755
232	0.04473290517
233	0.04472116068
234	0.04465431325
235	0.04464630811
236	0.04457052786
237	0.04455166931
238	0.04453253277
239	0.0445092282
240	0.04447298079
241	0.04443306638
242	0.04441427379
243	0.04440165877
244	0.04438710104
245	0.04437629941
246	0.04431036917
247	0.04428529227
248	0.04426210807
249	0.04422262281
250	0.04421268389
251	0.04420241483
252	0.04419372307
253	0.04417413945
254	0.04414619041
255	0.04413015908
256	0.04409024755
257	0.04407229244
258	0.04404857567
259	0.04403843141
260	0.04400145327
261	0.04393179977
262	0.0439134078
263	0.0438971211
264	0.04385624825
265	0.04384643795
266	0.04382947609
267	0.04381902807
268	0.04380670601
269	0.04379316538
270	0.04377508751
271	0.04373349951
272	0.04371265863
273	0.04369071263
274	0.04368384689
275	0.04367116285
276	0.04365005724
277	0.04360545946
278	0.04359012983
279	0.04354650131
280	0.04353475451
281	0.04350211001
282	0.04347302523
283	0.04345162718
284	0.04345162715
285	0.04344018524
286	0.04342961443
287	0.04342517477
288	0.04341386454
289	0.04336657269
290	0.04335938809
291	0.04332813176
292	0.04332479894
293	0.04331954937
294	0.04331225474
295	0.04329082056
296	0.04329079677
297	0.04326807624
298	0.04325250411
299	0.04324297673
300	0.04319784825
301	0.04317305958
302	0.04310406448
303	0.04306848077
304	0.04306189995
305	0.04300075405
306	0.04298656739
307	0.04294895571
308	0.04294016236
309	0.04292230943
310	0.04291126629
311	0.04290116127
312	0.04288417913
313	0.04286235063
314	0.04283249035
315	0.04283245571
316	0.04281763246
317	0.04279496511
318	0.04278503069
319	0.04276905454
320	0.04276898878
321	0.04275932074
322	0.04273376765
323	0.04271725809
324	0.04269548989
325	0.04268767618
326	0.04266541114
327	0.04263086655
328	0.04262598174
329	0.04259208997
330	0.04256374349
331	0.0425447576
332	0.04252905417
333	0.04251284073
334	0.0425032188
335	0.0424872217
336	0.04246798724
337	0.04245566914
338	0.04244296127
339	0.04243932604
340	0.04243361845
341	0.04241406697
342	0.04239370903
343	0.04237710817
344	0.04231874263
345	0.04231134521
346	0.04229124446
347	0.04228142391
348	0.04227526108
349	0.04223070579
350	0.04220926844
351	0.04220046938
352	0.04218975933
353	0.04217144082
354	0.04216411682
355	0.04213861676
356	0.04212479345
357	0.04210616338
358	0.04208596957
359	0.04206997546
360	0.04205181639
361	0.04204360038
362	0.04203704881
363	0.04202942858
364	0.04200991248
365	0.04199887656
366	0.04198154882
367	0.0419604951
368	0.04195024093
369	0.04193122202
370	0.04190241159
371	0.04188607712
372	0.04185639056
373	0.04184182361
374	0.04181775842
375	0.04179960914
376	0.04178155804
377	0.04174366058
378	0.04173307092
379	0.04171676936
380	0.04169281196
381	0.04168605086
382	0.04165034582
383	0.04164295706
384	0.04162861328
385	0.04157978957
386	0.04156817986
387	0.0415515082
388	0.04152822004
389	0.04151228677
390	0.04149502442
391	0.04148034658
392	0.04147314064
393	0.04146935886
394	0.04145481291
395	0.04144789894
396	0.04143743566
397	0.04142821858
398	0.04140444958
399	0.04138806485
400	0.04138191086
401	0.0413531622
402	0.04134545152
403	0.0413363514
404	0.04132982834
405	0.04132325515
406	0.04131524879
